att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,target
0.48105169,0.61451433,0.61837825,0.49711009,0.65952413,0.8790139,0.66280806,0.32881421,0.40238833,0.38724543,0.042659856,0.042297798,0.41704745,0.42791092,0.42485841,1
0.51757922,0.64775148,0.75772918,0.55097003,0.59862483,0.31852425,0.3985895,0.12788838,0.70322322,0.8161401,0.99615611,0.240905,0.93713467,0.43618496,0.57892349,1
0.41742418,0.6100467,0.79012242,0.52506635,0.59765929,0.44240231,0.1925104,0.19665819,0.75809928,0.098518738,0.53566419,0.39000491,0.070684335,0.67477647,0.055976157,1
0.63227456,0.62615228,0.77108582,0.45171332,0.6186154,0.56055953,0.85409995,0.13208296,0.17043202,0.35507365,0.69378761,0.48959434,0.66693153,0.61280959,0.26013019,1
0.49413124,0.60119235,0.72800249,0.41120704,0.58113994,0.74870572,0.78555899,0.60786591,0.21756331,0.64206083,0.51181992,0.047554673,0.64630196,0.071037084,0.68006553,1
0.51289055,0.58256453,0.74551006,0.4872114,0.60740898,0.53406413,0.13393125,0.54954011,0.55573794,0.31742786,0.3545343,0.71504501,0.82953282,0.82662951,0.86688705,1
0.46525358,0.68137461,0.57654113,0.55992327,0.63409222,0.75493327,0.049532579,0.0132832,0.43248499,0.46326058,0.98610424,0.89444776,0.87779907,0.72085567,0.67116623,1
0.46475754,0.64456768,0.74085281,0.51981067,0.64256238,0.58802606,0.86044056,0.39652079,0.1682513,0.064187087,0.75052006,0.71112855,0.72838682,0.51545845,0.45194571,1
0.53927021,0.69272972,0.68421353,0.49563993,0.5811592,0.40458,0.73864029,0.17811695,0.78936394,0.59749019,0.2237704,0.10788891,0.40349114,0.45039358,0.36003104,1
0.52156894,0.69256929,0.6150823,0.53115835,0.62647589,0.39679152,0.20846136,0.53377195,0.31581144,0.54644944,0.61644349,0.33042361,0.36245928,0.83187134,0.91682127,1
0.46588491,0.5817266,0.66735764,0.45015136,0.63406682,0.8335006,0.62095864,0.52610247,0.53120929,0.92109726,0.66238186,0.73907223,0.28662039,0.14651486,0.51697901,1
0.4645167,0.58927349,0.82918454,0.50816799,0.58268107,0.76911439,0.27029433,0.90513474,0.059403297,0.32583363,0.10694166,0.54930853,0.47557293,0.40007975,0.84870923,1
0.57345172,0.61511509,0.80450363,0.53543396,0.59856791,0.93285357,0.66094456,0.20894667,0.38827163,0.5583192,0.72317348,0.09908965,0.34800766,0.67322599,0.69375257,1
0.59469425,0.5805984,0.67651162,0.45557595,0.63871435,0.63931696,0.86543859,0.1181552,0.58318573,0.62067195,0.42111225,0.72951305,0.6671203,0.86414753,0.69538995,1
0.49679278,0.69683483,0.71838802,0.43947028,0.59937059,0.62789638,0.083482814,0.33584897,0.77193392,0.42264565,0.18061689,0.19324533,0.33166524,0.88248631,0.73427111,1
0.43550565,0.51808224,0.70139943,0.54789442,0.67270584,0.10969746,0.57466122,0.81820404,0.68502847,0.5306293,0.26532204,0.76692167,0.65134953,0.14887672,0.83627042,1
0.40634885,0.64834572,0.75705862,0.53338003,0.52650603,0.81539721,0.17710753,0.64071792,0.68409607,0.60499064,0.77095422,0.96353029,0.75674921,0.45389347,0.29755538,1
0.42842048,0.56214408,0.75158172,0.491307,0.58433748,0.43864498,0.16646044,0.60346798,0.72292252,0.16351237,0.33669926,0.83780318,0.98090364,0.095372693,0.66159619,1
0.58021059,0.70777488,0.74913578,0.54223342,0.53794867,0.32756543,0.10570943,0.048447339,0.42310939,0.65369989,0.98830226,0.97273389,0.30081902,0.011680991,0.7628871,1
0.4318812,0.61848577,0.66191057,0.48858718,0.56465191,0.19986282,0.98439831,0.78017553,0.31747978,0.67120219,0.55179251,0.59060865,0.025857471,0.4300018,0.5326235,1
0.43288655,0.64758397,0.68078111,0.4577673,0.6346398,0.15475235,0.93440512,0.061590667,0.19624892,0.76732951,0.58353317,0.62457292,0.5767583,0.33068207,0.83969742,1
0.4627767,0.65263917,0.77448947,0.45120076,0.66634164,0.11170574,0.93914171,0.89047568,0.21203084,0.78907351,0.34644876,0.2815077,0.37253424,0.61347488,0.11261514,1
0.5274097,0.63418445,0.7742413,0.52050314,0.65197842,0.40695484,0.85893882,0.33758386,0.316429,0.71521251,0.58357062,0.66043797,0.44653098,0.49180625,0.55388707,1
0.46252507,0.65039873,0.6909447,0.43156766,0.64369654,0.14999725,0.62988339,0.071452813,0.78442789,0.74064806,0.24862896,0.43172117,0.046191556,0.32604217,0.50021132,1
0.4813204,0.64949827,0.74107032,0.52546888,0.67043682,0.52249531,0.80134761,0.28784934,0.86693029,0.87111112,0.73422969,0.62371641,0.81115089,0.88283761,0.15649522,1
0.51769357,0.66007707,0.71494182,0.39639527,0.70422469,0.39345636,0.86271072,0.59721135,0.53087226,0.93573087,0.38330632,0.62892394,0.5449059,0.49790294,0.83418906,1
0.50824374,0.61411968,0.63055764,0.48742853,0.62774184,0.054974147,0.84220661,0.94300814,0.62249726,0.8667499,0.72610443,0.80675954,0.072051551,0.59336186,0.36044889,1
0.51896034,0.53748938,0.74551605,0.5112202,0.56141838,0.73634007,0.14651491,0.45605767,0.10975505,0.16356991,0.98914491,0.71357401,0.28594686,0.11703682,0.019621067,1
0.53886193,0.6939486,0.78973396,0.50985124,0.61629206,0.69626634,0.76902909,0.91213247,0.48448037,0.12487276,0.6273465,0.31194006,0.93004063,0.27528695,0.10933424,1
0.58238495,0.60825565,0.79051256,0.52443113,0.64376788,0.089950679,0.030889549,0.48522941,0.18443367,0.81453977,0.97125882,0.85618229,0.84908548,0.39453468,0.40677676,1
0.55846366,0.67321147,0.73006868,0.50725943,0.64347167,0.4243095,0.49911601,0.046351265,0.39600675,0.54088408,0.88535945,0.83315199,0.56071341,0.56192015,0.9080522,1
0.57396551,0.55691528,0.77355636,0.62422306,0.62284734,0.78996303,0.17760246,0.10481324,0.89292241,0.39076208,0.71957013,0.45134058,0.37231266,0.064633591,0.23929061,1
0.4447078,0.62160672,0.64740848,0.51899746,0.6359999,0.49500582,0.64819841,0.08852746,0.31342899,0.44396416,0.12565459,0.58820939,0.20677646,0.25858225,0.40362866,1
0.49337907,0.55254514,0.77830386,0.46188534,0.65394435,0.51442346,0.73784165,0.69253199,0.098594093,0.75194639,0.41159351,0.28150156,0.94373154,0.99685021,0.94191893,1
0.54040384,0.50850664,0.78213168,0.51260911,0.65477443,0.98987215,0.72866168,0.28797698,0.1343033,0.25761374,0.52784683,0.66265383,0.88401674,0.57083843,0.44063468,1
0.459756,0.58343167,0.73712261,0.48934765,0.57640526,0.68341587,0.042652411,0.99538973,0.18746081,0.89438938,0.93939836,0.34328789,0.98477624,0.32485544,0.83222148,1
0.65474617,0.58302056,0.81210518,0.49640311,0.62034735,0.063591371,0.84517819,0.10022154,0.59794164,0.83242339,0.9245809,0.93447827,0.23123782,0.89971348,0.73138707,1
0.62052286,0.6645708,0.76061779,0.49866549,0.6290243,0.16725355,0.05207789,0.70725349,0.63176637,0.5773942,0.29550725,0.03192263,0.89611135,0.85932041,0.93855786,1
0.35578579,0.6390992,0.70260912,0.50195712,0.50469892,0.58609207,0.031991016,0.24248656,0.29157032,0.74368834,0.45163877,0.99756035,0.19547676,0.4564246,0.2179938,1
0.57151493,0.64250897,0.70514927,0.37815567,0.68751006,0.24278536,0.48956999,0.89719135,0.69475219,0.21216321,0.02999195,0.13754659,0.58243296,0.018612775,0.59958555,1
0.44564649,0.58382067,0.66546605,0.4428075,0.60098746,0.52005247,0.20940508,0.21260153,0.10484625,0.76389794,0.5300517,0.054616615,0.05479179,0.60962969,0.078069053,1
0.49475605,0.56717992,0.72377303,0.47895314,0.61237167,0.44230541,0.28186686,0.29734682,0.79783026,0.70270231,0.68383861,0.12477404,0.8389696,0.34271322,0.52012942,1
0.68191985,0.71059439,0.71988312,0.5443035,0.67707754,0.21867663,0.49809429,0.46483994,0.36643662,0.68553571,0.17685506,0.17712375,0.083873508,0.55828492,0.69480329,1
0.39005766,0.63000464,0.77546109,0.52357453,0.53984395,0.54471611,0.61256647,0.98841793,0.74003233,0.15436981,0.18410029,0.22427707,0.58643961,0.38888378,0.72016461,1
0.53934426,0.67992123,0.72020295,0.45650192,0.70470077,0.86113981,0.016982938,0.56186143,0.29406633,0.65369013,0.74584748,0.51015252,0.73596616,0.82657889,0.050339987,1
0.57748488,0.526955,0.71429649,0.48387076,0.58696068,0.77198039,0.62595979,0.17566903,0.20567452,0.35960632,0.045051107,0.89589157,0.15223401,0.28495022,0.43027785,1
0.44262565,0.66626094,0.80817286,0.4794465,0.60496303,0.1388742,0.98230322,0.4684682,0.64194062,0.42935579,0.3838686,0.77249507,0.09427839,0.40731842,0.70557186,1
0.53438536,0.59832214,0.80819732,0.51937561,0.69579998,0.019577624,0.53859668,0.062045221,0.48760378,0.15359038,0.78373648,0.73058536,0.43326056,0.37569214,0.86386822,1
0.51925953,0.5583161,0.72862345,0.61188894,0.54194932,0.044454092,0.36241146,0.44172206,0.96442267,0.68156043,0.80444958,0.48565167,0.72175327,0.88440505,0.12218915,1
0.44955648,0.54614715,0.68060195,0.49030277,0.64400713,0.34771267,0.55229134,0.89494168,0.11228396,0.75932738,0.27506976,0.50128291,0.30366138,0.57473716,0.66904259,1
0.17385304,0.9328979,0.32868961,0.009332512,0.25448084,0.26805346,0.36300751,0.38431974,0.3223509,0.4363561,0.74618494,0.42100578,0.89423571,0.37406019,0.084997065,2
0.026107108,0.39066754,0.65011803,0.91502591,0.32415421,0.20429908,0.26586794,0.35394332,0.29922808,0.33843526,0.46791047,0.092068707,0.77836066,0.92268522,0.922358,2
0.49506692,0.90644327,0.44252996,0.40745574,0.80511242,0.1337115,0.38190808,0.40671229,0.34805257,0.3586132,0.42408482,0.88656379,0.5444177,0.30195347,0.64019425,2
0.13864897,0.37384767,0.55217503,0.70206645,0.58251852,0.33075737,0.34770133,0.44786512,0.34504927,0.38627325,0.62790418,0.034833821,0.13228533,0.99761618,0.79458942,2
0.60863543,0.22126573,0.35650893,0.8413691,0.32529899,0.27688946,0.35323584,0.41887459,0.2890348,0.39725781,0.89640978,0.94478399,0.8280956,0.55196185,0.38391351,2
0.71649735,0.60026215,0.55882055,0.63932376,0.99170372,0.24401658,0.36981221,0.3434273,0.24694709,0.38914913,0.24417289,0.77220673,0.12338138,0.55530762,0.3147835,2
0.55230984,0.010979092,0.18657144,0.35411647,0.76959693,0.33401515,0.40387778,0.37704909,0.29865378,0.4114194,0.23316769,0.20367644,0.8985475,0.4558437,0.37814844,2
0.26487259,0.18577826,0.53234993,0.18198047,0.15482877,0.28188144,0.25328492,0.37902387,0.32108096,0.38258896,0.87763414,0.72308996,0.33899915,0.33784457,0.74000758,2
0.28742727,0.10986171,0.54055043,0.95619615,0.35650362,0.20594882,0.28049984,0.4419523,0.20635266,0.43835166,0.97208916,0.47657468,0.65242084,0.57141307,0.064640759,2
0.67227024,0.83825559,0.19822179,0.19343375,0.74486786,0.23249444,0.29182441,0.38778881,0.3006506,0.45121365,0.28319863,0.60875871,0.21516961,0.73882324,0.12050817,2
0.14784947,0.2553703,0.16960881,0.61086898,0.781374,0.33440671,0.34667601,0.39086656,0.25204198,0.41692228,0.79918504,0.28023009,0.83925362,0.53125396,0.63730629,2
0.76241448,0.37472247,0.4138865,0.20847022,0.60980182,0.28554723,0.33515137,0.40406885,0.30927818,0.43964324,0.48743065,0.33975716,0.86467255,0.30897108,0.38014299,2
0.36037098,0.55655575,0.53506711,0.60743261,0.74753366,0.31890756,0.2730286,0.38343217,0.43267909,0.41254487,0.64802712,0.92543689,0.66235174,0.6289731,0.37048579,2
0.5760559,0.97265108,0.016674713,0.043390472,0.79662469,0.31979351,0.28750197,0.29773831,0.30323029,0.43764105,0.049857501,0.47156788,0.48799936,0.68245766,0.37960529,2
0.22802832,0.23536677,0.99235897,0.43655478,0.69281841,0.23267224,0.3321756,0.33405183,0.35184498,0.37258515,0.87281299,0.43329527,0.70890898,0.19324948,0.76724359,2
0.43059652,0.15194708,0.075967361,0.0014190582,0.40637332,0.22461916,0.26574373,0.36191325,0.35922934,0.31365519,0.46651201,0.4911458,0.27878453,0.47388687,0.52702495,2
0.24150174,0.81062811,0.47948455,0.62400055,0.92948447,0.30040476,0.37459208,0.40104339,0.27313205,0.36108994,0.81492027,0.9758448,0.076592835,0.95212531,0.091558143,2
0.43151118,0.58471862,0.19507153,0.75442458,0.89226719,0.25654811,0.34360158,0.36914874,0.30517842,0.4344069,0.65345682,0.25374921,0.76034335,0.14166298,0.98159621,2
0.91019523,0.83705645,0.073243434,0.85721276,0.83184251,0.2105549,0.33508267,0.36597844,0.280362,0.46442973,0.48223041,0.71447164,0.50743538,0.21328489,0.2602056,2
0.0097586499,0.5846413,0.47110187,0.15571983,0.22506788,0.23372687,0.33678258,0.32594359,0.37522488,0.31011676,0.74848991,0.82780393,0.51004034,0.4784975,0.053831549,2
0.95641636,0.089998815,0.70507748,0.99947786,0.54087832,0.25235161,0.32427109,0.28867165,0.26871695,0.38789813,0.095376786,0.40806349,0.66824932,0.49388184,0.61490357,2
0.33257141,0.50599946,0.19376594,0.2203101,0.26296403,0.25280856,0.31495336,0.36964967,0.21818414,0.45419953,0.23109536,0.77533431,0.53483171,0.052223528,0.46112108,2
0.0073486611,0.13111471,0.30913643,0.45496615,0.16689072,0.19847406,0.40231045,0.43661039,0.19944021,0.37062251,0.22946877,0.28734961,0.41996037,0.95083756,0.81283253,2